nickname,comment
Demka,Да походу кто то решил выкупить их у ГИБДД.Ну и чтоб не ушатали остановил эксплуатацию
Tabascko,На иномарках Z непатриотично смотрится
255936411,Да вобще автопром - это навязаный стереотип запада! Надо ездить на лошадях!
Гость0,жду не дождусь когда чиновники пересядут на поддержанные автоваз😂
Тракторина Форточкина,кремлевская верхушка не хочет поддержать отечественного производителя?
sunshine2017,"""...Непонятно сейчас, что с ними будут делать..."" не смешите тапки! по себе разберут за 3 копейки!"
41580168,Появится новая работа у ... Приезжих..возить на шее...желающих..за валюту 😁
24572288,"а куда служебные автомобили денут-, на продажу, иль просто в снегу стоять оставят?- если оставят то это прекрасный план, надежный как швейцарские часы...😁😁"
Гост,"Правильно, надо еще думу и им подобных всех поголовно пересадить на отечественный автопром. Ато ""патриотизм"" прям бьет ключом у них!"
silver009@e1.ru,"Все ДПС шкоды октавия у них турбовые 180 коней, 7,4 до сотни , пересев на ВАЗы уже не догонят"
Вейс,"ну аналогов много...конная полиция ...рикша ...велосипед... самокат 
на оленях...в конце концов!😜👍"
Лол-Кек-Чебурек,"Ой, а что случилось? Почему нельзя обслуживать? Я думаю найдется полно контор кто обслужит китайскими заменителями по тройному ценнику."
Stef,Переходим на коня! По коням!!!! 🏇🏻🏇🏻
209977643,Надо и депутатиков наших на Лады пересадить. Они же у нас самые патриотичные патриоты.
Евген66,"А если Рено сделано в РФ, то ездить можно или нет?
Не внятный указ какой-то..."
Гость1,"таких как Skoda и Renault, мотоциклы Yamaha, есть даже одна BMW. Непонятно сейчас, что с ними будут делать, — рассказал нам один из автоинспекторов, пожелавший остаться анонимным.

очень даже понятно

спишут и все разойдется согласно рангов приближенных лиц"
30867988,Ну и как вы будете догонять нарушителей на бэхах на отечественных шушлайках? Гыыы
ГЕНА,"Зря ваз-2109 на списание отправили,сейчас они были бы к стати!!!"
27521288,"Я чуть не поперхнулся? Он своё ****, всмысле лицо...Гранта не увезёт, Тревел тоже, на чём передвигать будет? Из картинки в картинку по ресурсам не пойдёт, да и не поедет точно. Ему нужно с ""депутатом Вовой"" напару кататься, искать игрушки на НГ."
potapov-sergey,Сейчас они расчехлят свои Уралы с коляской... Куда уж патриотичнее.
237115831,И куда сейчас эти Шкоды?
Сердечный,"Давайте все таки смотреть правде в глаза. у нас ни одно производство не сделано без применения импорта. И понятно, что даже ложка с вилкой подорожают. Импортозамещания не произошло, до сих пор, патриотизм загнулся, но ещё как то болтает его. У нас будет повышение цен ещё больше и больше"
Гость2,"Сразу видно: занято руководство, решают первостепенные задачи! Других проблем в городе нет!.."
Dim_dimonza,"а у нас в городе разве остались отечественные ? В области разве-что ... да и ""отечественные"" так же без запчастей скоро встанут .... пора лошадей закупать :))))"
Джон,"Видимо, начальники будут ездить только на иномарках теперь."
29327928,1 апрельская шутка от ГИБДД )))
Гость3,а где их мерсы айди . что про них молчат😁 видать начальство возить надо
Vivekananda,"Вот ведь коварный Запад. Даже ума не приложу, чего это он так ополчился на нас."
Гость4,"А че они стоят в ряд, а не буквой Z или V?"
С экватора,"""Гость Папуасович 23 мар 2022 в 11:44 Так Рено не собирается уходить?! ,,,не собирались, вроде)))""

- Все уходят. Все бегут. Даже спорт общество Динамо!"
otorvin,"Т.е вместо ремонта, проще накупить сотрудникам новых Вест и грант?! Сомнительная экономия...."
140850041,"Приказ подписан п-ком Озеровым по дороге домой, на заднем сидении служебной Камри))))"
Гость5,"Фото иномарок запретить и вуаля, вопрос решён"
гость,у чинарей камрюхе отжать и выдать ладе гранте
Гость6,"О да, мудрое решение. Главное пиар. Сказать это одно.
Шел бы дальше и предложил весь этот зарубежный хлам сжечь на площади 1905.
А так, если честно популистское решение. Надо другие проблемы ведомству решать"
Гость7,А они точно пересядут????
Гость8,"""Господин министр, у нас транспортные проблемы. Да, я вижу один велосипед
на двоих полицейских."" Такси-3.😁"
Гость9,"Так Рено не собирается уходить?! ,,,не собирались, вроде)))"
Гость10,"Образование на высоте, вот из за таких и не уважают у нас руководство. Русские бедолаги в Калуге и Нижнем Новгороде собирали эти машины (про ауди не знаю). Стройте свой завод и пересаживайтесь, он реально думает ели написано лада то она наша, а вот и нет рено"
Pretty23,"Правильно. Пусть пешком ходят, худеют."
274483968,"Так китайцы же набегут, наладят всё."
4544845454,"""Пока это касается только служебных автомобилей""

 Скоро в России: кто ездит на рено предатель - в тайгу на перевоспитание"
Татарское сообщество,Мотобан с БМВ и ямах на уралы посадите?
Гость11,Не прошло ещё и месяца после типа спецоперации. Власть сдувается и переобувается.
Гость12,"Подскажите, этому главному полицейскому, что задача его заключается в другом."
mr. Crow,"Привет мотобату!))) нучо как там подготовка к сезону? а, ну да, вы ж не сами мотаки к сезону готовите))) ""дядя в погонах"" отказался платить за ваше ""красиво и пафосно покататься??? ))))) а я вот уже все расходники поменял )"
Парфирий,"поставок больше не будет, резервируют под себя😁"
Гость13,Поменять эмблемы на Z и все
Гость14,Ждём фотоотчёт руководства области на нивах и грантах
Гость15,"Переименовать полицию обратно в милицию, и посадить на лошадей."
22154948,Прочувствовать пятой точкой новую реальность
Гость16,Давайте чиновников тоже с камри на ладу гранта👍🏼👍🏼👍🏼👍🏼
